ituated in West End Quarter N.30 & 33. the property of the Deceased Major;;;;;;;;;;
Vizt;;;;;;;;;;
House Negroes;;;Bought this;Total number;;Born this;;Died this;;
;;;year;;;year;;year;;
Men;Women;Boys;Men;Males;Females;Boys;Girls;Males;Females;
Thomas;Moll;None;None;;;none;Betsey;Isaac;none;
;Dorothy;;;;;;;Frederick;;
;;;;;;;1;2;;
;;;;;;;Recapitulation;;;
;;;;;;;Males...40;;;
;;;;;;;Females 27. 67 Total;;;
;;;;;;;Born 1;;;
;;;;;;;Died  2;;;
1✓;2✓;0;0;40;27;;;;;
St Croix 13th December 1799 I do certify the above;;;;;;;;;;
to be a just List of all the negroes on the;;;;;;;;;;
Estate Little La Grange N. 30 & 33 ;;;;;;;;;;
John Hatshett;;;;;;;;;;
